playerID,nameFirst,nameLast,bbrefID,mlbamID,pos
kjershe01,Heston,Kjerstad,kjershe01,677008,LF
ortizjo06,Joey,Ortiz,ortizjo06,687401,SS
rodrigr01,Grayson,Rodriguez,rodrigr01,680570,P
vallich01,Chris,Vallimont,vallich01,681808,P
westbjo01,Jordan,Westburg,westbjo01,676059,3B
abreuwi02,Wilyer,Abreu,abreuwi02,677800,RF
hamilda03,David,Hamilton,hamilda03,666152,SS
jacqujo01,Joe,Jacques,jacqujo01,682175,P
murphch01,Chris,Murphy,murphch01,669684,P
rafaece01,Ceddanne,Rafaela,rafaece01,678882,SS
roberni01,Nick,Robertson,roberni01,687798,P
valdeen01,Enmanuel,Valdez,valdeen01,665839,2B
waltebr01,Brandon,Walter,waltebr01,687888,P
yoshima02,Masataka,Yoshida,yoshima02,807799,LF
amayami01,Miguel,Amaya,amayami01,665804,C
canaral01,Alexander,Canario,canaral01,672744,LF
crowape01,Pete,Crow-Armstrong,crowape01,691718,CF
littllu01,Luke,Little,littllu01,681432,P
mervima01,Matt,Mervis,mervima01,670223,1B
palenda01,Daniel,Palencia,palenda01,694037,P
wicksjo01,Jordan,Wicks,wicksjo01,696136,P
abbotan01,Andrew,Abbott,abbotan01,671096,P
delacel01,Elly,De La Cruz,delacel01,682829,SS
encarch01,Christian,Encarnacion-Strand,encarch01,687952,1B
hopkitj01,TJ,Hopkins,hopkitj01,686759,CF
karchri01,Ricky,Karcher,karchri01,676689,P
legumca01,Casey,Legumina,legumca01,668984,P
marteno01,Noelvi,Marte,marteno01,682622,3B
mclaima01,Matt,McLain,mclaima01,680574,2B
phillco01,Connor,Phillips,phillco01,683175,P
richaly01,Lyon,Richardson,richaly01,680689,P
salazed01,Eduardo,Salazar,salazed01,674285,P
spierca01,Carson,Spiers,spierca01,686730,P
stoudle01,Levi,Stoudt,stoudle01,686651,P
willibr02,Brandon,Williamson,willibr02,682227,P
wongja01,Jake,Wong,wongja01,673858,P
wynnera01,Randy,Wynne,wynnera01,691094,P
allenlo02,Logan,Allen,allenlo02,671106,P
battepe01,Peyton,Battenfield,battepe01,685410,P
bibeeta01,Tanner,Bibee,bibeeta01,676440,P
fryda01,David,Fry,fryda01,681807,1B
herriti01,Tim,Herrin,herriti01,682120,P
rocchbr01,Brayan,Rocchio,rocchbr01,677587,SS
tenajo01,José,Tena,tenajo01,677588,3B
williga01,Gavin,Williams,williga01,668909,P
calvobl01,Blair,Calvo,calvobl01,663971,P
doylebr02,Brenton,Doyle,doylebr02,686668,CF
goodmhu01,Hunter,Goodman,goodmhu01,696100,C
justiev01,Evan,Justice,justiev01,687145,P
kaiseco01,Connor,Kaiser,kaiseco01,663731,SS
kauffka01,Karl,Kauffmann,kauffka01,666154,P
monteco01,Coco,Montes,monteco01,663796,2B
pintri01,Riley,Pint,pintri01,666207,P
vodnivi01,Victor,Vodnik,vodnivi01,680767,P
englema01,Mason,Englert,englema01,669438,P
gipsosa01,Sawyer,Gipson-Long,gipsosa01,687830,P
hanifbr01,Brenan,Hanifee,hanifbr01,669724,P
lipcian01,Andre,Lipcius,lipcian01,686531,2B
meadopa01,Parker,Meadows,meadopa01,678009,CF
olsonre01,Reese,Olson,olsonre01,681857,P
whitebr01,Brendan,White,whitebr01,686839,P
dubinsh01,Shawn,Dubin,dubinsh01,681869,P
francjp01,J. P.,France,francjp01,641585,P
julksco01,Corey,Julks,julksco01,667452,LF
kessigr01,Grae,Kessinger,kessigr01,666197,3B
salazce01,César,Salazar,salazce01,663967,C
bowlajo01,Jonathan,Bowlan,bowlajo01,680742,P
coxau01,Austin,Cox,coxau01,680735,P
croplty01,Tyler,Cropley,croplty01,680418,C
cruzst01,Steven,Cruz,cruzst01,674444,P
loftini01,Nick,Loftin,loftini01,679845,2B
marshal01,Alec,Marsh,marshal01,679525,P
mcartja01,James,McArthur,mcartja01,663704,P
mcmiljo01,John,McMillon,mcmiljo01,669111,P
portelo01,Logan,Porter,portelo01,682515,C
taylosa04,Samad,Taylor,taylosa04,669392,2B
venezan01,Anthony,Veneziano,venezan01,685107,P
buschmi02,Michael,Busch,buschmi02,683737,1B
delucjo01,Jonny,DeLuca,delucjo01,676356,RF
hudsobr01,Bryan,Hudson,hudsobr01,663542,P
hurtky01,Kyle,Hurt,hurtky01,669165,P
millebo06,Bobby,Miller,millebo06,676272,P
sheehem01,Emmet,Sheehan,sheehem01,686218,P
stonega01,Gavin,Stone,stonega01,694813,P
aluja01,Jake,Alu,aluja01,666906,3B
ferrejo01,José,Ferrer,ferrejo01,678606,P
harriho02,Hobie,Harris,harriho02,665048,P
irvinja01,Jake,Irvin,irvinja01,663623,P
milladr01,Drew,Millas,milladr01,686452,C
ruthebl01,Blake,Rutherford,ruthebl01,666164,LF
rutleja01,Jackson,Rutledge,rutleja01,671131,P
wardth01,Thaddeus,Ward,wardth01,663658,P
william01,Amos,Willingham,william01,686294,P
youngja03,Jacob,Young,youngja03,696285,CF
hartwgr01,Grant,Hartwig,hartwgr01,701643,P
mauriro01,Ronny,Mauricio,mauriro01,677595,SS
muckeza01,Zach,Muckenhirn,muckeza01,669105,P
sengako01,Kodai,Senga,sengako01,673540,P
walkejo03,Josh,Walker,walkejo03,677020,P
alvarar01,Armando,Alvarez,alvarar01,669137,3B
bassobr01,Brady,Basso,bassobr01,669620,P
ferguty01,Tyler,Ferguson,ferguty01,621053,P
ginnjt01,J. T.,Ginn,ginnjt01,669372,P
harribr02,Brett,Harris,harribr02,695391,3B
hernada04,Darell,Hernaiz,hernada04,687231,3B
holmagr01,Grant,Holman,holmagr01,680880,P
kleinwi01,Will,Klein,kleinwi01,694361,P
mccanky01,Kyle,McCann,mccanky01,668832,C
olougja01,Jack,O'Loughlin,olougja01,672552,P
otanemi01,Michel,Otañez,otanemi01,671305,P
schuema01,Max,Schuemann,schuema01,680474,SS
spencmi01,Mitch,Spence,spencmi01,687765,P
wilsoja05,Jacob,Wilson,wilsoja05,805779,SS
burromi01,Mike,Burrows,burromi01,681347,P
cookbi01,Billy,Cook,cookbi01,695257,1B
feiglbr01,Brady,Feigl,feiglbr01,621399,P
jonesja09,Jared,Jones,jonesja09,683003,P
kochgr01,Grant,Koch,kochgr01,667428,C
skenepa01,Paul,Skenes,skenepa01,694973,P
yorkeni01,Nick,Yorke,yorkeni01,694377,2B
kolekst01,Stephen,Kolek,kolekst01,663568,P
lockrbr01,Brandon,Lockridge,lockrbr01,663604,LF
matsuyu01,Yuki,Matsui,matsuyu01,673513,P
mazurad01,Adam,Mazur,mazurad01,800049,P
merrija01,Jackson,Merrill,merrija01,701538,CF
paulegr01,Graham,Pauley,paulegr01,688363,3B
reynose01,Sean,Reynolds,reynose01,669308,P
blissry01,Ryan,Bliss,blissry01,669208,2B
clasejo01,Jonatan,Clase,clasejo01,682729,LF
locklty01,Tyler,Locklear,locklty01,682988,1B
rivasle01,Leo,Rivas,rivasle01,660844,SS
taylotr01,Troy,Taylor,taylotr01,700187,P
avilani01,Nick,Avila,avilani01,687014,P
birdsha01,Hayden,Birdsong,birdsha01,806185,P
bivensp01,Spencer,Bivens,bivensp01,702352,P
blackma01,Mason,Black,blackma01,696131,P
brooktr01,Trenton,Brooks,brooktr01,670092,1B
burgora01,Raymond,Burgos,burgora01,670103,P
leeju01,Jung Hoo,Lee,leeju01,808982,CF
mccragr01,Grant,McCray,mccragr01,687529,CF
mcdontr01,Trevor,McDonald,mcdontr01,686790,P
milleer01,Erik,Miller,milleer01,669062,P
rodrira02,Randy,Rodríguez,rodrira02,678495,P
rouppla01,Landen,Roupp,rouppla01,694738,P
tengka01,Kai-Wei,Teng,tengka01,678906,P
fernary01,Ryan,Fernandez,fernary01,681676,P
gracego01,Gordon,Graceffo,gracego01,700669,P
kloffad01,Adam,Kloffenstein,kloffad01,680572,P
loutory01,Ryan,Loutos,loutory01,702795,P
mcgremi01,Michael,McGreevy,mcgremi01,700241,P
pagespe02,Pedro,Pagés,pagespe02,686780,C
roycrch01,Chris,Roycroft,roycrch01,688297,P
saggeth01,Thomas,Saggese,saggeth01,695336,2B
scottvi01,Victor,Scott,scottvi01,687363,CF
biggehu01,Hunter,Bigge,biggehu01,685801,P
drisclo01,Logan,Driscoll,drisclo01,686482,C
misneka01,Kameron,Misner,misneka01,670224,CF
montgma01,Mason,Montgomery,montgma01,682254,P
shentau01,Austin,Shenton,shentau01,668853,1B
sternju01,Justin,Sterner,sternju01,686993,P
churcma01,Marc,Church,churcma01,687847,P
fabiasa01,Sandro,Fabian,fabiasa01,660758,OF
foscuju01,Justin,Foscue,foscuju01,679822,1B
garabge01,Gerson,Garabito,garabge01,642520,P
harridu01,Dustin,Harris,harridu01,687957,LF
langfwy01,Wyatt,Langford,langfwy01,694671,LF
leiteja01,Jack,Leiter,leiteja01,683004,P
penniwa01,Walter,Pennington,penniwa01,679156,P
roberda11,Daniel,Robert,roberda11,642016,P
rockeku01,Kumar,Rocker,rockeku01,677958,P
wendzda01,Davis,Wendzel,wendzda01,673995,3B
winnco01,Cole,Winn,winnco01,668390,P
bargead01,Addison,Barger,bargead01,680718,3B
berrost01,Steward,Berroa,berrost01,672642,RF
deloslu03,Luis,De Los Santos,deloslu03,665782,3B
eiserbr01,Brandon,Eisert,eiserbr01,685126,P
jimenle01,Leo,Jimenez,jimenle01,677870,SS
loperjo01,Joey,Loperfido,loperjo01,694388,LF
martior01,Orelvis,Martinez,martior01,682619,2B
rodriya01,Yariel,Rodríguez,rodriya01,684320,P
wagnewi01,Will,Wagner,wagnewi01,695238,3B
camarja01,Jair,Camargo,camarja01,665856,C
festada01,David,Festa,festada01,701581,P
helmami01,Michael,Helman,helmami01,680737,CF
keirsda01,DaShawn,Keirsey,keirsda01,680577,CF
leebr02,Brooks,Lee,leebr02,686797,3B
martiau01,Austin,Martin,martiau01,668885,CF
matthze01,Zebby,Matthews,matthze01,805673,P
johnsse01,Seth,Johnson,johnsse01,686751,P
lazarma01,Max,Lazar,lazarma01,676661,P
mercami01,Michael,Mercado,mercami01,675650,P
phillty01,Tyler,Phillips,phillty01,663969,P
alvarna01,Nacho,Alvarez,alvarna01,805373,SS
dunshpa01,Parker,Dunshee,dunshpa01,670161,P
holmegr01,Grant,Holmes,holmegr01,656550,P
schwesp01,Spencer,Schwellenbach,schwesp01,680885,P
waldrhu01,Hurston,Waldrep,waldrhu01,694462,P
baldwbr01,Brooks,Baldwin,baldwbr01,681460,2B
burkese01,Sean,Burke,burkese01,680732,P
bushky01,Ky,Bush,bushky01,681066,P
cannojo02,Jonathan,Cannon,cannojo02,686563,P
ederja01,Jake,Eder,ederja01,671109,P
ellarfr01,Fraser,Ellard,ellarfr01,686642,P
ellisdu01,Duke,Ellis,ellisdu01,668752,CF
iriarja01,Jairo,Iriarte,iriarja01,683568,P
leasujo01,Jordan,Leasure,leasujo01,673929,P
nastrni01,Nick,Nastrini,nastrni01,680897,P
ramosbr01,Bryan,Ramos,ramosbr01,682868,3B
thorpdr01,Drew,Thorpe,thorpdr01,689672,P
bachala01,Lake,Bachar,bachala01,669199,P
bellova01,Valente,Bellozo,bellova01,678368,P
bermujo01,Jonathan,Bermúdez,bermujo01,642834,P
coningr01,Griffin,Conine,coningr01,665052,RF
kitchau01,Austin,Kitchen,kitchau01,685116,P
maldoan01,Anthony,Maldonado,maldoan01,687424,P
munozro01,Roddery,Muñoz,munozro01,682610,P
norbyco01,Connor,Norby,norbyco01,681393,3B
peredjh01,Jhonny,Pereda,peredjh01,640902,C
petermi01,Michael,Petersen,petermi01,656848,P
ramirem01,Emmanuel,Ramirez,ramirem01,642629,P
sanojja01,Javier,Sanoja,sanojja01,691594,2B
villael02,Eli,Villalobos,villael02,681871,P
beetecl01,Clayton,Beeter,beetecl01,690925,P
maciejo01,Josh,Maciejewski,maciejo01,656671,P
narvaca01,Carlos,Narváez,narvaca01,665966,C
ricebe01,Ben,Rice,ricebe01,700250,1B
warrewi01,Will,Warren,warrewi01,701542,P
blackty01,Tyler,Black,blackty01,672012,3B
blalobr01,Bradley,Blalock,blalobr01,687134,P
chourja01,Jackson,Chourio,chourja01,694192,LF
colliis01,Isaac,Collins,colliis01,686555,LF
dunnol01,Oliver,Dunn,dunnol01,686554,3B
gassero01,Robert,Gasser,gassero01,688107,P
jayty01,Tyler,Jay,jayty01,664079,P
meekeja01,James,Meeker,meekeja01,703231,P
myersto01,Tobias,Myers,myersto01,668964,P
rodrica02,Carlos,Rodriguez,rodrica02,692230,P
rollech01,Chris,Roller,rollech01,676896,CF
aldegsa01,Sam,Aldegheri,aldegsa01,691951,P
campegu01,Gustavo,Campero,campegu01,672569,RF
danaca01,Caden,Dana,danaca01,702674,P
kavadni01,Niko,Kavadas,kavadni01,694359,1B
kochaja01,Jack,Kochanowicz,kochaja01,686799,P
kristza01,Zac,Kristofak,kristza01,670219,P
millery01,Ryan,Miller,millery01,668943,P
teodobr01,Bryce,Teodosio,teodobr01,669326,CF
wagamer01,Eric,Wagaman,wagamer01,676572,1B
zeferry01,Ryan,Zeferjahn,zeferry01,666171,P
alexabl01,Blaze,Alexander,alexabl01,677942,SS
barrojo01,Jorge,Barrosa,barrojo01,678489,LF
delcaad01,Adrian,Del Castillo,delcaad01,680728,C
diazyi01,Yilber,Díaz,diazyi01,700270,P
menacr01,Cristian,Mena,menacr01,691441,P
walstbl01,Blake,Walston,walstbl01,686796,P
