yearID,teamID,playerID,first,last,games
2022,HOU,bregmal01,2022-04-07,2022-10-05,155
2022,KCA,brentja01,2022-04-07,2022-04-29,8
2022,CLE,brennwi02,2022-09-21,2022-10-05,11
2022,PIT,briceau01,2022-06-26,2022-08-16,4
2022,OAK,bridejo01,2022-06-14,2022-10-04,58
2022,DET,briesbe01,2022-04-23,2022-07-12,15
2022,MIA,brighje01,2022-07-24,2022-10-05,16
2022,SFN,brinsle01,2022-09-02,2022-09-20,16
2022,NYA,brittza01,2022-09-24,2022-09-30,3
2022,PHI,brogdco01,2022-04-10,2022-10-04,47
2022,SLN,brookaa01,2022-04-10,2022-04-28,5
2022,MIL,brossmi01,2022-04-07,2022-10-04,70
2022,HOU,brownhu01,2022-09-05,2022-10-04,7
2022,OAK,brownse01,2022-04-08,2022-10-05,150
2022,PIT,brubajt01,2022-04-07,2022-10-04,28
2022,LAN,bruihju01,2022-04-10,2022-09-21,24
2022,TBA,brujavi01,2022-04-24,2022-10-05,52
2022,COL,bryankr01,2022-04-08,2022-07-31,42
2022,KCA,bubickr01,2022-04-10,2022-10-01,28
2022,LAN,buehlwa01,2022-04-08,2022-06-10,12
2022,ARI,bumgama01,2022-04-07,2022-09-21,30
2022,CHA,bummeaa01,2022-04-08,2022-10-05,32
2022,MIN,bundydy01,2022-04-11,2022-10-01,29
2022,MIA,burdipe01,2022-08-05,2022-10-05,32
2022,CHA,burgeja01,2022-04-08,2022-07-05,51
2022,TEX,burkebr01,2022-04-10,2022-10-04,52
2022,SLN,burleal01,2022-09-08,2022-10-05,16
2022,MIL,burneco01,2022-04-07,2022-10-05,33
2022,CHA,burrry01,2022-04-29,2022-05-18,8
2022,TEX,bushma01,2022-04-09,2022-07-29,40
2022,MIL,bushma01,2022-08-03,2022-10-02,25
2022,NYN,buttojo01,2022-08-21,2022-08-21,1
2022,MIN,buxtoby01,2022-04-08,2022-08-22,92
2022,MIA,cabreed02,2022-06-01,2022-10-01,14
2022,SLN,cabrege01,2022-04-07,2022-08-26,39
2022,DET,cabremi01,2022-04-08,2022-10-04,112
2022,NYA,cabreos01,2022-08-17,2022-10-05,44
2022,MIL,cainlo01,2022-04-07,2022-06-16,43
2022,TEX,calhoko01,2022-04-08,2022-10-04,125
2022,TEX,calhowi01,2022-04-08,2022-04-29,18
2022,SFN,calhowi01,2022-09-12,2022-09-16,4
2022,CLE,callal01,2022-07-11,2022-07-31,12
2022,WAS,callal01,2022-08-14,2022-10-05,35
2022,PHI,camarjo01,2022-04-09,2022-07-29,52
2022,DET,camerda01,2022-04-16,2022-08-07,21
2022,SDN,campulu01,2022-04-24,2022-10-05,16
2022,DET,candeje01,2022-04-08,2022-10-05,124
2022,NYN,canhama01,2022-04-07,2022-10-05,140
2022,NYN,canoro01,2022-04-07,2022-04-29,12
2022,SDN,canoro01,2022-05-15,2022-06-01,12
2022,ATL,canoro01,2022-07-11,2022-07-27,9
2022,MIN,canoye01,2022-05-11,2022-07-27,10
2022,BAL,canoye01,2022-09-10,2022-10-05,3
2022,SLN,capelco01,2022-06-27,2022-07-08,9
2022,OAK,capelco01,2022-09-20,2022-10-05,13
2022,TOR,capravi01,2022-05-01,2022-05-24,8
2022,MIL,caratvi01,2022-04-07,2022-10-05,96
2022,SLN,carlsdy01,2022-04-07,2022-10-05,128
2022,DET,carltdr01,2022-05-20,2022-07-13,5
2022,DET,carpeke01,2022-08-10,2022-09-27,31
2022,NYA,carpema01,2022-05-26,2022-08-08,47
2022,NYN,carraca01,2022-04-10,2022-10-04,29
2022,ARI,carroco02,2022-08-29,2022-10-05,32
2022,SFN,casalcu01,2022-04-10,2022-07-04,41
2022,SEA,casalcu01,2022-08-14,2022-10-05,16
2022,BOS,casastr01,2022-09-04,2022-10-05,27
2022,CLE,castran02,2022-04-10,2022-07-24,12
2022,SEA,castidi01,2022-04-09,2022-10-04,59
2022,MIA,castada01,2022-04-15,2022-07-28,10
2022,PIT,castidi02,2022-04-07,2022-10-05,96
2022,DET,castrha01,2022-04-10,2022-10-04,120
2022,ARI,castehu01,2022-04-08,2022-05-31,11
2022,HOU,castrja01,2022-04-09,2022-06-29,34
2022,SDN,castijo03,2022-08-24,2022-08-24,1
2022,SFN,castrke01,2022-04-26,2022-04-29,2
2022,CHN,castrke01,2022-08-04,2022-08-25,8
2022,CIN,castilu02,2022-05-09,2022-07-27,14
2022,SEA,castilu02,2022-08-03,2022-10-01,11
2022,DET,castilu03,2022-08-06,2022-09-05,3
2022,NYA,castrmi01,2022-04-08,2022-10-05,34
2022,TOR,castima03,2022-06-19,2022-07-29,9
2022,KCA,castima03,2022-08-18,2022-10-02,5
2022,PHI,casteni01,2022-04-08,2022-10-05,136
2022,OAK,castery01,2022-04-17,2022-04-22,3
2022,PIT,castrro01,2022-05-12,2022-10-05,71
2022,DET,castrwi01,2022-04-19,2022-09-29,112
2022,WAS,cavalca01,2022-08-26,2022-08-26,1
2022,MIN,caveja01,2022-08-02,2022-10-05,54
2022,CHA,ceasedy01,2022-04-09,2022-10-01,32
2022,MIN,celesgi01,2022-04-11,2022-10-05,122
2022,CIN,cessalu01,2022-04-07,2022-10-04,46
2022,COL,chacijh01,2022-04-10,2022-09-11,35
2022,DET,chafian01,2022-04-27,2022-10-04,64
2022,CLE,changyu01,2022-04-07,2022-05-20,4
2022,PIT,changyu01,2022-05-31,2022-06-26,18
2022,TBA,changyu01,2022-07-09,2022-09-06,36
2022,BOS,changyu01,2022-09-17,2022-10-05,11
2022,NYA,chapmar01,2022-04-08,2022-10-04,43
2022,TOR,chapmma01,2022-04-08,2022-10-05,155
2022,TBA,chargjt01,2022-04-08,2022-10-05,21
2022,CHN,chaveje01,2022-04-10,2022-04-19,3
2022,ATL,chaveje01,2022-04-23,2022-10-05,46
2022,ANA,chaveje01,2022-08-04,2022-08-28,11
2022,PIT,chavimi01,2022-04-07,2022-09-24,129
